title,address,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_square,location,in_centroid
"BÁN NHÀ MT ĐƯỜNG HÒA MỸ, ĐAKAO, QUẬN 1, GIÁ 2tỷ450","Đường Hòa Mỹ, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",0,0,1,1,0,0,0,,0,2,3,1,2,4,0,1
"CHÍNH CHỦ CẦN BÁN NHÀ HXH , QUẬN 1","Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",0,0,1,1,0,2,0,Bắc,0,2,3,0,0,0,0,1
Nhà 1 trệt 3 lầu 140m2.. 393 Trẩn Hưng đạo q1,"393, Đường Trần Hưng Đạo||2859, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",3,2,1,1,1,2,0,Đông Bắc,0,1,0,0,2,3,0,1
MT Nguyễn Văn Cừ Q1 dt:4.2m x 14m 3lầu 1sân thượng,"Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",1,2,1,1,0,1,1,,0,1,3,1,4,0,0,1
"Nhà 1trệt1 lầu,44m2,Nguyễn Thị Minh Khai,Đa Kao,Q1","Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",1,2,0,1,0,0,1,,0,2,1,0,2,4,0,1
Chính chủ cần bán Gấp 212/170 Nguyễn Văn Nguyễn,"212/170, Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",0,2,1,1,1,0,0,Đông Bắc,3,1,3,1,0,2,0,1
HXH Trần Đình Xu F.NCTQ1 dt:3m x 11m 1L 2L 1ST,"Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,2,1,1,1,0,1,,0,2,3,1,4,2,0,1
Nhà CC 84m2 (172tr/m2) HXeTai Phạm Viết Chánh Q1,"Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",3,2,0,0,0,0,2,,0,2,2,0,4,3,0,1
Cần Bán Nhà Mặt Tiền Nguyễn Bỉnh Khiêm ( Đoạn Đep),"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",0,1,1,0,0,0,0,,0,1,3,0,4,4,0,1
2MT Hoàng Sa khu KDMB đông đúc dt:4.7m x 11m 1 lầu,"Đường Hoàng Sa, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",0,2,0,0,0,1,1,,0,1,3,1,1,2,0,1
❌Hàng Vip Hxhoi Nguyễn Đình Chiểu Q1 (30m2)1L 5TỶ,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,2,0,4,0,0,1
"Bán nhà phố hẻm xe hơi 46 Trần Đình Xu, Quận 1,HCM","Trần Đình Xu, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",0,2,1,1,1,0,0,Bắc,0,2,0,1,0,4,0,1
MT Phạm Ngũ Lão P.PNL Q1 dt: 4m x 26m 1 lững 7 lầu,"Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",3,3,2,2,1,0,2,,0,1,3,1,2,1,0,1
❌Hàng Vip HXTAI Tân Định Q1 (4x14m)3Lau 12 Tỷ,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",1,0,2,2,0,0,1,,0,2,2,0,4,0,0,1
"Không có căn thứ 2 ở Bùi Thị Xuân, Q1, 1T2L,5.8 tỷ","Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",0,2,1,0,0,0,1,,0,2,3,1,4,2,0,1
HẺM XE Ô TÔ 93M2 - ĐƯỜNG NGUYỄN HỮU CẢNH - QUẬN 1,"Võ Duy Ninh, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",3,2,0,1,0,1,2,,0,2,3,1,3,4,0,1
Nhà Quận 1 - 1 trệt 1 lửng 1 lầu 1 ST 150m2,"155/, Đường Cô Bắc, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",1,2,2,2,0,0,2,Đông Bắc,0,2,1,1,1,2,0,1
