title,address,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_square,location,in_centroid
VILLA MINI HẺM TRẦN QUANG DIỆU Q3 - 5PN 8 TỶ 7,"Đường Trần Quang Diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",1,1,2,2,0,2,0,,0,2,0,1,3,2,2,1
Bán nhà HXH Lê Văn Sỹ - 1 trệt 3 lầu. 90m2,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh",0,2,1,1,0,0,0,Đông Bắc,0,2,1,1,4,2,2,1
"Nhà Lê Văn Sỹ, Quận 3. DT 4x18m, 3 lầu. Giá 13 tỷ","Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",2,1,1,2,0,0,2,,0,2,3,0,4,0,2,1
"Quận 3, nhà cũ 54m2 gần Chợ TÂN ĐỊNH giá 2,15 tỷ","Đường Trần Quốc Toản, Phường 8, Quận 3, Tp Hồ Chí Minh",1,1,0,0,0,1,1,,0,2,3,1,2,4,2,1
Nhà Huỳnh Tịnh Của Quận 3_115tr/m2_4x12_4tầng/5PN,"Đường Huỳnh Tịnh Của, Phường 8, Quận 3, Tp Hồ Chí Minh",1,0,2,1,0,0,1,,0,2,3,0,3,2,2,1
CẦN BÁN GẤP NHÀ Trần Quốc Thảo Q.3- 25m2 chỉ 3 tỷ.,"Đường Trần Quốc Thảo, Phường 7, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,0,2,0,0,2,1
"BÁN CĂN GÓC 2MT, NHÀ ĐẸP LUNG LINH HXH Quận 3","Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",3,2,1,1,0,1,2,,0,2,3,0,4,3,2,1
Bán nhà MT P.4 Q.3 Hđ thuê 55tr/th Giá 17.5 Tỷ,"Đường Cư xá Đô Thành, Phường 4, Quận 3, Tp Hồ Chí Minh",1,0,2,2,0,1,0,,0,1,3,1,0,3,2,1
"Nhà bán HXH Điện Biên Phủ P3, Q3","Đường Điện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,3,1,4,1,2,1
Bán Nhà HXH đường Nguyễn Thiện Thuật giá 6ty TL,"Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, Tp Hồ Chí Minh",0,2,1,1,1,0,0,,3,2,3,1,0,0,2,1
"Nhà Trần Quang Diệu, Q.3, 3.9x16m, 6 tầng, 14.5 tỷ","Đường Trần Quang Diệu, Phường 4, Quận 3, Tp Hồ Chí Minh",2,3,2,2,1,0,2,,0,2,3,2,4,3,2,1
cần bán nhà đẹp nhỏ xinh 1 trệt 3 lầu ngay cmt8 Q3,"176, Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Tp Hồ Chí Minh",0,1,1,0,1,0,0,,0,2,1,1,4,1,2,1
TÔI THUA LỖ BÁN GẤP NHÀ LÊ VĂN SỸ GIÁ TL GẦN CHỢ,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",1,1,0,1,0,1,1,,3,1,3,1,1,3,2,1
"Chính chủ bán nhà MT q3,dt 3x11,5m giá chỉ 12,5 ty","Đường Số 3 Cư xá Đô Thành, Phường 4, Quận 3, Tp Hồ Chí Minh",0,0,1,1,0,2,0,,0,1,3,1,4,3,2,1
"Xe hơi đỗ cửa Nguyễn Thiện Thuật, Phường 3 Quận 3","Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, Tp Hồ Chí Minh",1,0,1,1,0,2,0,,0,2,3,1,3,2,2,1
Kẹt Vốn Bán Nhà HXH Nguyễn Đình Chiểu-Q3 44m2 SHR,"Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,0,2,3,1,2,3,2,1
"Bán nhà nhỏ xinh hàng hiếm 1,48 tỷ q3","Đường Trần Quốc Thảo, Phường 7, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,Tây Nam,0,2,3,1,3,3,2,1
Nhà Đẹp Giá Rẻ.Hầm và 2 Lầu.giá 3 Tỷ8,"Đường Trần Văn Đang, Phường 11, Quận 3, Tp Hồ Chí Minh",0,0,0,1,0,2,0,,0,2,3,1,3,1,2,1
"Bán Nhà Hẻm, Cao Thắng, P3, Q3, 4 Tầng, Gía: 5.9Tỷ","Cao Thắng, Phường 3, Quận 3, Tp Hồ Chí Minh",0,2,2,1,1,0,1,Tây Nam,0,2,0,0,4,2,2,1
"Bán Nhà HXT 8m CMT8, P10, Q3 Trệt + Lầu, Gía 5.1Tỷ","Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Tp Hồ Chí Minh",2,2,0,0,0,0,0,Nam,0,2,0,0,0,2,2,1
Cần tiền kinh doanh bán nhà 60m2 cư xá Đô Thành,"Đường Nguyễn Hiền, Phường 4, Quận 3, Tp Hồ Chí Minh",2,1,0,0,0,0,1,,0,2,3,1,0,4,2,1
"Nhà quận 3 Vườn Chuối bán gấp vì kẹt vốn,sổ riêng","Đường Vườn Chuối, Phường 4, Quận 3, Tp Hồ Chí Minh",2,1,0,0,0,1,1,,0,1,3,1,0,3,2,1
"Nhà MT NGÃ BA 98.8m2 CMT8-Trần Văn Đang, Q.3","440B, Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",3,2,1,1,0,0,2,Tây Nam,0,1,1,1,4,1,2,1
Nhà MT Q3 đang cho thuê 55tr/tháng,"Đường Số 2 Cư xá Đô Thành, Phường 4, Quận 3, Tp Hồ Chí Minh",1,0,2,1,0,2,0,,0,1,3,1,0,0,2,1
BIỆT THỰ TRUNG TÂM TRẦN QUANG DIỆU Q 3 CHỈ 7.3 TỶ,"Đường Trần Quang Diệu, Phường 1, Quận 3, Tp Hồ Chí Minh",2,1,2,1,0,2,0,,3,2,3,1,3,2,2,1
"NGUYỄN THÔNG, 59M2, 6 TỶ.","Đường Nguyễn Thông, Phường 9, Quận 3, Tp Hồ Chí Minh",1,1,0,0,0,0,1,,0,2,3,2,3,0,2,1
"CON BỆNH BÁN GẤP NHÀ 70M2/ 1,05 TỶ Đ.LÊ VĂN SỸ, Q3","Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",2,1,1,0,0,1,1,,0,1,3,1,0,3,2,1
Đường 10m Điện Biên Phủ. Quận 3. Giá đầu tư,"Đường Điện Biên Phủ, Phường 1, Quận 3, Tp Hồ Chí Minh",2,1,2,2,0,2,0,,3,1,3,1,4,3,2,1
"Bán Nhà phố Q3, Nguyễn đình chiểu","Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Tp Hồ Chí Minh",0,2,1,1,1,0,1,Đông Bắc,0,2,3,1,4,0,2,1
Kẹt Tiền Làm Ăn Bán Nhà Hẻm Lớn Điện Biên Phủ Q3,"541/13.., Đường Điện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,Tây Nam,0,2,3,0,4,4,2,1
Nhà đẹp vị trí tốt,"351/1, Đường Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh",3,3,2,2,1,2,2,Tây,0,2,3,1,1,4,2,1
Bán gấp nhà Trần Văn Đang Quận 3. Kinh doanh tốt.,"Đường Trần Văn Đang, Phường 10, Quận 3, Tp Hồ Chí Minh",0,2,0,0,0,0,0,,3,1,3,1,3,1,2,1
"Nhà hẻm 8m TQD Q3 4,5 x 17 Trệt 3 Lầu 12,5 Tỷ TL","Đường Trần Quang Diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",2,3,2,1,0,1,2,,0,2,3,2,4,3,2,1
"Bán Nhà Quận 3_Hẻm Ô TÔ_4,5m*15m 5 lầu chỉ 8,5 tỷ","Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",2,1,1,1,0,2,0,,3,2,3,1,3,2,2,1
"Nhà 1T1L 3PN 2WC Nguyễn Đình Chiểu Q3 1,85 Tỷ SHR","Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",1,1,1,0,0,2,0,,3,2,3,1,1,4,2,1
"Bán Nhà Sát Mặt Tiền Bàn Cờ, Q3, 5x9m chỉ 4.5 tỷ","Đường Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",0,0,0,1,0,1,0,,0,1,3,1,3,1,2,1
Bán nhà đẹp Hxh Lê Văn Sỹ P14 Q.3 40m2 giá 5.3 tỷ.,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,1,,3,2,3,1,1,2,2,1
Bán nhà LÊ VĂN SỸ,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",2,3,1,1,0,0,2,,0,2,3,1,0,0,2,1
"Nhà mới xây,1 trệt,2 lầu,1 sân thượng,p11,q.3","Đường Trần Văn Đang, Phường 11, Quận 3, Tp Hồ Chí Minh",0,1,1,0,0,0,0,Tây Bắc,0,2,3,2,4,1,2,1
Nhà trệt 3 lầu kiên cố gần chợ hẻm 3 gác hẻm cụt,"Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh",1,2,1,2,0,1,1,Tây Bắc,0,2,3,1,4,2,2,1
"Hxh Nguyễn Đình Chiểu quận 3, 5 tầng - 40m2 5,99tỷ","Nguyễn Đình Chiểu, Phường 5, Quận 3, Tp Hồ Chí Minh",0,3,2,2,1,0,0,,0,2,3,0,3,4,2,1
"Hẻm xe hơi,48m2,Nguyễn Thượng Hiền,Q3, chỉ 6,8 tỷ","Đường Nguyễn Thượng Hiền, Phường 5, Quận 3, Tp Hồ Chí Minh",1,0,1,0,0,2,0,,3,2,3,1,3,2,2,1
Nhà Gần MT Trần Quốc Thảo Q3. 3.5x15 5L 8.8 tỷ,"Đường Trần Quốc Thảo, Phường 7, Quận 3, Tp Hồ Chí Minh",1,3,2,2,1,0,1,,0,2,3,2,0,2,2,1
CHÍNH CHỦ BÁN NHÀ HẺM 541 ĐIỆN BIÊN PHỦ P.03 Q.3,"Đường Điện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",0,1,1,0,0,0,0,,0,2,3,1,4,1,2,1
"Nhà 57m2 5 tỷ 3 Lê Văn Sỹ, Quận 3. Miễn cò","Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",1,1,0,0,0,0,2,,0,2,3,0,3,2,2,1
"Cần Bán Nhà Lý Chính Thắng,Phường 7, Quận 3","Đường Lý Chính Thắng, Phường 7, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,3,1,2,4,2,1
"NHÀ VÕ VĂN TẦN 1 TRỆT 3 LẦU, 2.8X20M, 15 TỶ","Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",1,1,2,2,0,0,2,,0,1,2,0,4,0,2,1
Bán nhà đường Trần Văn Đang F11 Q3,"205/39, Trần Văn Đang, Phường 11, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,0,Tây Bắc,0,2,3,1,0,1,2,1
Kẹt Vốn Bán Nhà LýChínhThắng-Q3 45m2 SHR Vô Ở Ngay,"Đường Lý Chính Thắng, Phường 8, Quận 3, Tp Hồ Chí Minh",1,0,1,1,0,1,0,,0,2,3,1,2,3,2,1
Bán nhà đường Trần Văn Đang F11 Q3,"205/39/, Đường Trần Văn Đang, Phường 11, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,0,Tây Bắc,0,2,3,1,0,1,2,1
BUÔN BÁN THUA LỖ BÁN NHÀ PASTEUR QUẬN 3 46M2 SHCC,"Đường Pasteur, Phường 6, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,2,0,,0,2,3,0,0,4,2,1
"CHÍNH CHỦ BÁN NHÀ NGUYỄN ĐÌNH CHIỂU Q3 1,167tỷ SHR","Đường Nguyễn Đình Chiểu, Phường 1, Quận 3, Tp Hồ Chí Minh",1,2,0,1,0,0,1,,0,2,3,0,1,4,2,1
"ĐẸP LUNG LINH, HOÀNG SA,Q3, 1T1L có SÂN THƯỢNG,SHR","Đường Hoàng Sa, Phường 9, Quận 3, Tp Hồ Chí Minh",1,0,1,0,0,0,1,,0,2,2,0,1,0,2,1
"NHÀ VÕ VĂN TẦN QUẬN3 44M SỔ HỒNG RIÊNG,HẺM XE HƠI","Đường Võ Văn Tần, Phường 3, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,0,2,2,0,1,0,2,1
"DI CƯ BÁN NHÀ TRƯỜNG SA Q3 1TY305 50M2 HXH, SHR","Đường Trường Sa, Phường 13, Quận 3, Tp Hồ Chí Minh",1,0,1,1,0,1,0,,0,2,3,1,0,4,2,1
Cần Vốn Bán Nhà Nguyễn Thiện Thuật Quận 3 41m2 Sh,"Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, Tp Hồ Chí Minh",1,2,1,1,0,0,0,,0,2,3,1,1,0,2,1
"CHUYỂN ĐI, BÁN NHÀ HXH 48m2 Ở TRƯỜNG SA,Q3, 1tỷ183","Đường Trường Sa, Phường 13, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,0,2,3,1,1,4,2,1
Nhà Cần Bán ở Bà Huyện Thanh Quan Q3 58m2 998tr sh,"Đường Bà Huyện Thanh Quan, Phường 4, Quận 3, Tp Hồ Chí Minh",1,3,1,2,0,1,1,,0,2,3,1,1,0,2,1
"Bán nhà HXH đường Bàn Cờ, Quận 3, 43m2 chỉ 6,7 tỷ","Đường Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",1,0,1,1,0,0,1,,0,2,3,0,4,2,2,1
"Bán Nhà Hẻm, Nguyễn Thiện Thuật, P3, Q3, 6.7 TỶ","Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, Tp Hồ Chí Minh",0,2,1,1,1,0,0,Tây Nam,0,2,0,0,4,2,2,1
MT đường số 4 Cư Xá Đô Thành Q3 - Trệt + 2 Lầu,"Đường Số 4 Cư xá Đô Thành, Phường 4, Quận 3, Tp Hồ Chí Minh",1,2,0,1,0,0,1,,0,1,2,1,4,2,2,1
Bán Gấp nhà Đường CMT 8 Quận 3 36m2,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,2,0,,0,2,3,1,3,1,2,1
Bán Gấp Nhà HXH Lý Chính Thắng 1.68tỷ/ 40m2 shr,"Đường Lý Chính Thắng, Phường 8, Quận 3, Tp Hồ Chí Minh",0,0,1,0,0,2,0,,0,2,3,0,0,3,2,1
"HXH NAM KỲ KHỞI NGHĨA 6,1 x 18 cấp 4 có GPXD 5 Lâu","Đường Nam Kỳ Khởi Nghĩa||3413, Phường 7, Quận 3, Tp Hồ Chí Minh",3,2,1,1,0,2,1,Đông Bắc,0,2,3,1,3,3,2,1
"PHÁ SẢN, BÁN NHÀ NGUYỄN THIỆN THUẬT,Q3- 71M2/1TY45","Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, Tp Hồ Chí Minh",2,1,0,0,0,2,0,,0,2,3,1,1,3,2,1
"Nhà Ngon HXH Lê Văn Sỹ Q3 10,5 tỷ 60m.","Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",2,1,2,1,0,2,1,,0,2,3,0,0,3,2,1
"Hẻm 462/ CMT8 P11 Q3, DT: 3,4 x 12m ,trệt 1 lầu","462/, Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,1,,0,2,3,0,0,1,2,1
"Bán nhà cư xá Đô Thành, Q3","4/2, Đường Số 3 Cư xá Đô Thành, Phường 4, Quận 3, Tp Hồ Chí Minh",0,0,2,2,0,2,0,,0,1,1,0,0,0,2,1
"Nhà MT khu CX Đô Thành , Q.3, 2 lầu , khu VIP","Đường 3, Phường 4, Quận 3, Tp Hồ Chí Minh",2,1,1,1,0,1,1,,0,1,0,1,3,2,2,1
Bán gấp nhà HXH Trần Quang Diệu Q3 P14,"Đường Trần Quang Diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,1,1,,0,2,3,1,4,3,2,1
"Bán nhà Lê Văn Sỹ F.14 Q.3.DT 4 x 8m 3L .Giá 5,2Ty","Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",0,2,1,1,1,0,0,,0,2,3,1,4,2,2,1
bán gấp nhà 2 mặt tiền Nguyễn Đinh Chiểu,"Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",0,0,1,1,1,0,0,Đông Nam,0,1,1,1,4,0,2,1
Bán nhà hxh Q3. 1 đời chủ,"trần quang diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",2,2,0,1,0,1,1,Tây Nam,0,2,3,0,1,2,2,1
"Cần chia TS bán nhà 1 trệt 4 lầu CMTT Q3 giá 24,2","Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",3,3,2,2,1,1,2,Tây Bắc,0,2,1,0,0,4,2,1
"Siêu vị trí, nhà góc 2 mặt hẻm, Nguyễn T.M.Khai Q3","Đường Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",1,1,0,0,0,0,0,,0,2,3,2,4,2,2,1
Bán nhà phố 2mặt tiền ngay thị trấn Lại Uyên .,"453/81, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",3,3,2,2,0,1,2,Đông Nam,0,1,3,1,1,0,2,1
Nhà hẻm 3m Nguyễn Đình Chiểu Q.3 120m2 3 Lầu rẻ,"Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",0,2,1,1,1,2,0,,0,2,3,2,4,1,2,1
"Bán nhà hẻm 235 Nam Kỳ Khởi Nghĩa. F7 , Q3","Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Tp Hồ Chí Minh",1,1,0,0,0,2,0,Đông Bắc,0,2,3,1,3,4,2,1
"KẸT TIỀN CUỐI NĂM, NHÀ TRỆT + LẦU DT: 27M2 P4Q3","Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",0,1,1,1,0,0,0,Đông Bắc,0,2,3,2,4,1,2,1
"Mặt tiền Nguyễn Đình Chiểu Quận 3,4 tầng 20ty","Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",1,0,2,1,0,0,1,,0,1,3,2,4,1,2,1
"Nhà hẻm 4PN cực đẹp full NT tại CMT8, Q3","205, Đường Cách Mạng Tháng Tám, Phường 4, Quận 3, Tp Hồ Chí Minh",0,2,1,1,0,0,0,Tây Bắc,3,2,3,1,0,2,2,1
"NHÀ NÁT 52M2 ĐƯỜNG LÊ VĂN SĨ, GẦN CHỢ , SỔ HỒNG R.","Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,0,2,3,1,1,0,2,1
"Cần tiền bán nhà Lý Chính Thắng,Q3, nhà gần chợ","Đường Lý Chính Thắng, Phường 9, Quận 3, Tp Hồ Chí Minh",1,0,1,0,0,2,0,,0,2,3,1,1,3,2,1
Nhà nát quận 3,"Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,2,2,Nam,0,2,3,2,3,4,2,1
Nhà Hẻm thẳng 1 trục Ngay sát MT Trần Quốc Thảo,"Đường Trần Quốc Thảo, Phường 7, Quận 3, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,0,2,3,1,3,2,2,1
BÁN NHÀ HXH DIEN BIÊN PHỦ P3 Q3 GIÁ 4T850,"Đường Điện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,3,1,4,4,2,1
"Nhà mới xây 5 lầu, thang máy, giá rẻ","118, Đường Trần Quang Diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",2,1,2,2,0,1,2,Đông Nam,0,2,0,0,4,0,2,1
Nhà 1 trệt 3 lầu 145m2 đường Trần Văn Đang Quận 3,"75, Trần Văn Đang, Phường 9, Quận 3, Tp Hồ Chí Minh",2,2,1,2,0,2,2,Tây Nam,0,2,1,1,4,3,2,1
"Chính chủ bán nhà 2 tầng, đường Võ Văn Tần Q3","Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,0,Tây Bắc,0,2,2,1,3,4,2,1
"Nhà mặt tiền Hoàng Sa p7Q3. Dt: 4x8m, 1lầu","Đường Hoàng Sa, Phường 8, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,0,Tây Nam,0,1,3,1,0,2,2,1
Nhà đẹp Hoàng Sa Q.3. DT 4x15m 4 lầu Giá 8 tỷ,"Đường Hoàng Sa, Phường 7, Quận 3, Tp Hồ Chí Minh",1,2,2,2,0,0,1,,0,2,3,1,4,0,2,1
"Bán nhà hẻm 3,5m hai bà trưng Q.3 Giá 4,25Tỷ TL","Đường Hai Bà Trưng, Phường 8, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,1,Tây Nam,0,2,1,0,3,4,2,1
"Nhà mặt tiền Võ Văn Tần, Quận 3. DT: 6x12m 37 tỷ.","Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",2,3,2,2,0,2,1,,3,1,3,1,4,1,2,1
"Nhà để chốt, hẻm 2.5m, 6x11, trệt, 2 Lầu","Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Tp Hồ Chí Minh",2,1,1,1,0,2,0,,0,2,3,1,3,2,2,1
"Nhà Đẹp HXH 10m Trường Sa,p12,Q3 Có 1Trệt 2Lầu SHR","Đường Trường Sa, Phường 12, Quận 3, Tp Hồ Chí Minh",1,1,1,1,0,1,1,,0,2,3,1,1,3,2,1
NHÀ CÁCH MẶT TIỀN 1 CĂN .SHR CHÍNH CHỦ,"Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",2,1,1,1,0,2,0,,0,2,3,1,3,0,2,1
Mặt Tiền Rạch Bùng Binh Gần CMT8 DT:4.5x12m 5 Tầng,"Đường Rạch Bùng Binh, Phường 10, Quận 3, Tp Hồ Chí Minh",1,1,2,1,0,1,1,,0,1,3,1,4,4,2,1
Nhà 1Trệt 1Lửng 3Lầu 3PN 4WC 453Lê Văn Sỹ P12 Q3,"453, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",0,2,1,1,0,1,0,Đông Nam,0,2,1,2,4,2,2,1
"HXH Trần Quang Diệu,Q3,1 trệt 2 lầu ST,4PN 3WC,","Đường Trần Quang Diệu, Phường 14, Quận 3, Tp Hồ Chí Minh",1,2,1,1,0,0,1,,0,1,3,1,4,2,2,1
"Nhà 1 trệt 3 lầu 38m2 Paster, P8,Q3",Đường Pasteur,0,2,1,1,0,0,0,Đông,0,2,1,0,3,1,2,1
"Nhà 1 Lầu Giá Tốt Cho Đầu Tư 4x8m Võ Văn Tần,P5,Q3","Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,0,,0,2,2,1,3,1,2,1
"nhà mới hxh 3 lầu Nguyễn Đình Chiểu ,Q3.DT: 60m2","Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Tp Hồ Chí Minh",2,3,1,2,0,0,1,,3,2,3,1,0,3,2,1
"Nhà hẻm xe hơi Điện Biên Phủ, P.3, Q.3, 3x9 m","Đường Điện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,3,1,4,1,2,1
Nhà Hẻm xe hơi 12 met 1 trệt 2 lầu ngay chợ Bàn Cờ,"664/132, Đường Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",0,2,1,1,0,0,1,Tây Nam,0,2,3,0,1,2,2,1
Nhà 1 trệt 4 lầu hẻm 6m quận 3 giá 24 tỉ,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",3,3,2,2,1,1,2,Tây Bắc,0,2,1,0,4,1,2,1
"Bán gấp nhà góc 2 MT hẻm Lê Văn Sỹ, Quận 3.","359/65, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",1,2,0,0,0,2,0,,0,2,3,1,4,0,2,1
Hẻm Xe Hơi .3 lầu.40m2 giá 6.1tỷ,"Đường Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",0,0,1,1,0,0,1,,0,2,1,1,1,2,2,1
"Chính chủ bán nhà quận 3, ngày TT","Đường Cách Mạng Tháng Tám, Phường 4, Quận 3, Tp Hồ Chí Minh",0,0,1,0,0,0,1,,3,2,3,1,4,2,2,1
Bán nhà hẻm xe hơi đường VIP Nam Kỳ Khởi Nghĩa Q.3,"Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Tp Hồ Chí Minh",2,3,2,1,1,1,1,,0,2,1,1,0,3,2,1
"Bán gấp nhà hẻm NKKN,p7, Q3 ngang trên 5m, giá tốt","Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Tp Hồ Chí Minh",1,1,0,0,0,2,1,,0,2,3,1,3,4,2,1
"Mặt tiền nội bộ cư xá đô thành , vị trí đẹp","Đường Vườn Chuối, Phường 4, Quận 3, Tp Hồ Chí Minh",1,2,1,0,0,0,1,,0,1,3,0,4,4,2,1
Bán nhà hẻm 2m Võ Văn Tần P.5 Q.3,"Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",0,1,0,0,0,0,0,,0,2,3,1,3,4,2,1
Nhà CHÍNH CHỦ MẶT TIỀN đường Nguyễn Thông 40m2,"53, Đường Nguyễn Thông, Phường 9, Quận 3, Tp Hồ Chí Minh",0,0,2,2,0,0,0,Tây,0,1,3,1,1,1,2,1
Li Hôn Bán Gấp Nhà CMT8-Q3 DT54m có 3PN+3WC SHR CC,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",1,1,1,1,0,1,1,,0,2,3,1,0,3,2,1
Bán nhà giá rẻ Võ Văn Tần Ngang 4 dài 8 giá 3.2,"Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh",0,0,0,1,0,2,0,,3,2,3,1,0,1,2,1
"315/Lê văn sỹ quận 3 45m2 3 tầng, 3Pn 4 tỷ TL","315/, Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh",1,0,1,1,0,0,1,,0,2,3,2,3,0,2,1
"Tin được không? Nhà CMT8, 70m2 nở hậu chỉ 4 tỷ 5","Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Tp Hồ Chí Minh",2,1,0,1,0,2,1,,0,2,3,2,2,1,2,1
Bán nhà 1 trệt 3 lầu mới xây đẹp như ảnh,"Đường Trần Văn Đang, Phường 11, Quận 3, Tp Hồ Chí Minh",0,2,1,1,0,2,0,,0,2,3,0,0,1,2,1
"Nhà HXT CMT8,Q3 4x23m, 5tầng, gần chợ Hòa Hưng, CV","Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",3,3,2,2,1,1,2,,0,2,1,0,4,1,2,1
"Mặt Tiền Nguyễn Đình Chiểu,P.2,Q3. (6 tầng) 15,5 t","Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Tp Hồ Chí Minh",0,0,2,2,0,2,0,,0,1,3,1,0,3,2,1
