,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Chính chủ gửi bán nhà q9 có phí cho ae mg,"Đường Nam Hòa, Phường Phước Long A, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],143 m²,237 m²,4 phòng,6 phòng,4,[],8.2 m,17 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"125,87 triệu/m²",18 tỷ- 143 m2đ
1,BÁN NHÀ MT ĐƯƠNG HỒ BÁ PHẤN Q9 SHR CHÍNH CHỦ DT60m,"Đường Hồ Bá Phấn, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,60 m²,2 phòng,2 phòng,[],[],5 m,12 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"16,42 triệu/m²",985 triệu- 60 m2đ
2,MTKD Lê Văn Việt - Quận 9 - KTX ĐH Sư Phạm KT,"Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],284 m²,300 m²,5 phòng,6 phòng,[],[],10 m,29 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],[],[],"144,37 triệu/m²",41 tỷ- 284 m2đ
3,"BIỆT THỰ, NHÀ PHỐ , SHOPHOUSE QUẬN 9 GIÁ TỪ 4,35T","Đường 990, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Khu Đô Thị Dragon Village,[],[],[],[],170 m²,[],4 phòng,5 phòng,[],[],6 m,15 m,[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"25,59 triệu/m²","4,35 tỷ- 170 m2đ"
4,Biệt Thự Song Lập View Sông Park Riverside Nhà Thô,"Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],128 m²,215 m²,4 phòng,4 phòng,[],[],8 m,16 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"82,03 triệu/m²","10,5 tỷ- 128 m2đ"
5,"Biệt thự mini 2 mặt tiền, thông thoáng, có bảo vệ","33, Đường 6, Phường Long Trường, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],106 m²,256 m²,4 phòng,4 phòng,3,[],6.4 m,18 m,['Tây Nam'],[],['Đang chờ sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"51,89 triệu/m²","5,5 tỷ- 106 m2đ"
6,"Biệt Thự Vườn Khang Điền Q9 , 240m2 ,4PN,SHR.","Đường Vành Đai, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],150 m²,235 m²,4 phòng,4 phòng,[],[],10 m,16 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất đầy đủ'],[],[],[],[],"63,33 triệu/m²","9,5 tỷ- 150 m2đ"
7,Nhà Phố Khang Điền Mega Village Full Nội Thất !!!,"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],75 m²,[],3 phòng,3 phòng,[],[],[],[],[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"75,33 triệu/m²","5,65 tỷ- 75 m2đ"
8,Biệt thự Dragon Village view công viên 8x20 SHR,"Đường 990, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Khu Đô Thị Dragon Village,[],[],[],[],160 m²,480 m²,4 phòng,4 phòng,3,[],8 m,20 m,[],[],['Đang chờ sổ'],['Nhà phố liền kề'],[],[],[],[],['Bàn giao thô'],[],[],[],[],"41,56 triệu/m²","6,65 tỷ- 160 m2đ"
9,Nhà Long Thành Mỹ Quận 9 Chỉ 3ty8 TL,"412D/8/4, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],57.6 m²,138.4 m²,4 phòng,4 phòng,2,[],4 m,13.4 m,['Nam'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"66,67 triệu/m²","3,8 tỷ
GIÁ TỐT
- 57.6 m2đ"
10,"Bán nhà samsung villa 4,91x12,40 giá 3ty4","Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Samsung Village,[],[],[],[],61 m²,122 m²,2 phòng,1 phòng,[],[],4.91 m,12.4 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],"55,74 triệu/m²","3,4 tỷ- 61 m2đ"
11,bán nhà mặt tiền đường 119 phường phú hữu quận 9,"Đường 119, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],52 m²,203 m²,4 phòng,5 phòng,[],[],4 m,13 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"80,77 triệu/m²","4,2 tỷ- 52 m2đ"
12,"Biệt thự Lucasta Khang Điền, Nhà Thô, Vị Trí Đẹp !","Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],167 m²,225 m²,4 phòng,4 phòng,[],[],9.5 m,17 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"83,83 triệu/m²",14 tỷ- 167 m2đ
13,"Biệt Thự Liên Lập, 6x18 Nhà Thô, Có Sân Thượng","Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],108 m²,225 m²,3 phòng,4 phòng,[],[],6 m,18 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"66,2 triệu/m²","7,15 tỷ- 108 m2đ"
14,Nhà một trệt một lửng hai lầu.q9,"99/56, Đường 6, Phường Long Bình, Quận 9, Tp Hồ Chí Minh",[],[],Dự án Thái dương xanh,[],[],60 m²,185 m²,3 phòng,3 phòng,[],[],4 m,14 m,['Tây'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"64,17 triệu/m²","3,85 tỷ- 60 m2đ"
15,Nhà hẻm xe tải cách Lê Văn Việt 100m DT:4.15x15.59,"Đường Lê Văn Việt, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],130 m²,[],3 phòng,2 phòng,[],[],[],[],[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"34,62 triệu/m²","4,5 tỷ- 130 m2đ"
16,Tôi có việc gấp cần bán nhà Man Thiện 65m2 có sổ,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],65 m²,65 m²,3 phòng,2 phòng,[],[],5 m,13 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"10,54 triệu/m²",685 triệu- 65 m2đ
17,Cần bán nhà 1T1L 52m2 ĐS 8 P.Trường Thạnh Quận 9,"Đường Số 8, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],52 m²,100 m²,2 phòng,2 phòng,[],[],4 m,12 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"63,46 triệu/m²","3,3 tỷ- 52 m2đ"
18,"Nhà mặt tiền đường 12, long Thạnh mỹ, quận 9","21, Đường 12, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],85 m²,85 m²,2 phòng,2 phòng,[],[],5 m,17 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"111,76 triệu/m²","9,5 tỷ- 85 m2đ"
19,Đơn lập VIP compound Villa Park sang nhanh giá tốt,"Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Villa Park,[],[],[],[],299 m²,382 m²,4 phòng,4 phòng,4,[],15 m,20 m,['Tây Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"90,3 triệu/m²",27 tỷ- 299 m2đ
20,Nhượng lại căn 1T1L_MT 6m K.doanh tốt Phú Hữu Q9,"Đường Số 990, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],57.9 m²,[],2 phòng,2 phòng,[],[],4 m,14.4 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"46,32 triệu/m²","2,64 tỷ- 57.9 m2đ"
21,CẦN BÁN BIỆT THỰ SAIGON GARDEN RIVERSIDE QUẬN 9,Đường Cầu Đình,[],[],[],[],[],1395 m²,139 m²,4 phòng,4 phòng,[],[],30 m,34 m,['Tây'],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"21,51 triệu/m²",30 tỷ- 1.395 m2đ
22,Shophouse Dragon Village Quận 9 giá 6 tỷ đường 30m,"D20, Đường 30m, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",[],20,Lô D,[],[],105 m²,350 m²,4 phòng,3 phòng,3,[],7 m,15 m,['Đông Bắc'],[],['Giấy tờ khác'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Bàn giao thô'],[],[],[],[],"57,14 triệu/m²","6 tỷ
GIÁ TỐT
- 105 m2đ"
23,"Song lập thô Tây Trạch compound Villa giá tốt, SHR","Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Villa Park,[],[],[],[],170 m²,240 m²,4 phòng,4 phòng,3,[],10 m,17 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Bàn giao thô'],[],[],['Nở hậu'],[],"76,47 triệu/m²",13 tỷ- 170 m2đ
24,Nhà 1 trệt 1 lầu đường 102 lã xuân oai,"Đường 102, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",[],[],[],[],[],41 m²,[],3 phòng,[],[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"60,98 triệu/m²","2,5 tỷ
GIÁ TỐT
- 41 m2đ"
