,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,bán nhà 1trệt 1lầu mặt tiền thạnh lộc 29,"đường thạnh lộc 29, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,120 m²,2 phòng,3 phòng,[],[],4 m,15 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"54,17 triệu/m²","3,25 tỷ
GIÁ TỐT
- 60 m2đ"
1,"Sổ Hồng, đường xe hơi, 2 phòng ngủ, 2toilet Q12","Nguyễn Thị Búp 124/6, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],20 m²,50 m²,2 phòng,2 phòng,[],[],5 m,4 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"42,5 triệu/m²",850 triệu- 20 m2đ
2,"Nhà bán đường Võ Thị Thừa, Quận 12, TP HCM 197m2","Đường Võ Thị Thừa, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],197 m²,[],3 phòng,2 phòng,2,[],5 m,35 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Nở hậu'],[],"60,91 triệu/m²",12 tỷ- 197 m2đ
3,NHÀ MỚI- 4 TẦNG-HẺM XE TẢI- 60M2- 4.55 TỶ- Q12,"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,200 m²,4 phòng,4 phòng,4,[],5 m,12 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"75,83 triệu/m²","4,55 tỷ- 60 m2đ"
4,"Nhà đường xe hơi, Lê Văn Khương 200m,gần chợ","572/25/35, Lê Văn Khương 200m, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,19 m²,1 phòng,1 phòng,[],[],4 m,4 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"18,33 triệu/m²",550 triệu- 30 m2đ
5,"Lê Văn Khương - Quận 12 - HXH - 111 m2 - 5,5 tỷ","Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],111 m²,170 m²,2 phòng,2 phòng,2,[],5.8 m,19.3 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"49,55 triệu/m²","5,5 tỷ
GIÁ TỐT
- 111 m2đ"
6,"Tôi bán Nhà 1/ Nguyễn Ảnh Thủ,Q12(Giá 800Tr)DT 40m","nguyễn ảnh thủ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,40 m²,2 phòng,2 phòng,1,[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],20 triệu/m²,800 triệu- 40 m2đ
7,Nha sô hông riêng,"Hiêp Tjanh 13, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,[],3 phòng,3 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"78,75 triệu/m²","3,15 tỷ- 40 m2đ"
8,Thương lượng bán nhanh nhà riêng gần Chợ Bà Điểm,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],96 m²,[],2 phòng,2 phòng,2,[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"19,27 triệu/m²","1,85 tỷ- 96 m2đ"
9,Bán nhà HXH đường nhựa 6M 2 mặt tiền TMT13-Q12,"Đường Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],85 m²,71.6 m²,3 phòng,[],[],[],4.2 m,20.25 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"57,65 triệu/m²","4,9 tỷ
GIÁ TỐT
- 85 m2đ"
10,"Bán lại Căn Nhà 890triệu, Q12, ngay Đông Hưng Thuậ","Đường Song Hành, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],48 m²,48 m²,2 phòng,2 phòng,[],[],4 m,6 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"18,54 triệu/m²",890 triệu- 48 m2đ
11,"Bán nhà gần BV Q12 DT 30m2, Dương Thị Mười, Q12","Đường Dương Thị Mười, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,30 m²,2 phòng,2 phòng,2,[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"26,67 triệu/m²",800 triệu- 30 m2đ
