,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"nhà mặt tiền Nguyễn Băn Luôn 210m2,cho thuê 40trệu","Đường Nguyễn Văn Luông, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],210 m²,210 m²,2 phòng,2 phòng,1,[],6 m,35 m,['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Nở hậu'],[],"102,38 triệu/m²","21,5 tỷ- 210 m2đ"
1,"Bán nhà 1L1T đang cho thuê ở Phạm Văn Chí, Q6!!!","Đường Phạm Văn Chí, Phường 7, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],45 m²,45 m²,3 phòng,2 phòng,[],[],5 m,9 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"39,22 triệu/m²","1,765 tỷ- 45 m2đ"
2,Bán nhà 2 lầu MT 12m đường số 76 giá 7.5 tỷ,"Đường 76, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],56 m²,[],5 phòng,3 phòng,[],[],4 m,14 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"133,93 triệu/m²","7,5 tỷ- 56 m2đ"
3,"Bán nhà HXH Bình Tây, P1, Quận 6 (39m2/ 4,1tỷ)","Bình Tây, Phường 1, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],39 m²,[],2 phòng,1 phòng,[],[],3.5 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"105,13 triệu/m²","4,1 tỷ
GIÁ TỐT
- 39 m2đ"
4,Nhà góc 2 mặt tiền hẻm quận 6,"Đường Phan Văn Khoẻ, Phường 5, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],40.9 m²,61.16 m²,1 phòng,1 phòng,[],[],4 m,10 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Bàn giao thô'],[],[],['Hẻm xe hơi'],[],205 triệu/m²,"8,2 tỷ- 40.9 m2đ"
5,Nhà hẻm chợ (4x17) Tân Hoà Đông P14 Q6,"Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,145 m²,3 phòng,3 phòng,[],[],4 m,17 m,['Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],[],[],"77,94 triệu/m²","5,3 tỷ- 68 m2đ"
6,Bán nhà Quận 6_Gần chợ Phú Lâm_4x12 (4tỷ5),"Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],48 m²,[],4 phòng,[],[],[],[],[],[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],['Cần mua'],"93,75 triệu/m²","4,5 tỷ
GIÁ TỐT
- 48 m2đ"
7,Quận 6 112m²,"Đường Nguyễn Văn Luông, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],112 m²,112 m²,5 phòng,5 phòng,3,[],5.7 m,18 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"107,14 triệu/m²",12 tỷ- 112 m2đ
8,Nhà Q6 diện tích rộng 83m không sử dụng cần bán,"Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],75 m²,75 m²,2 phòng,2 phòng,1,[],4.3 m,17.5 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Nở hậu'],[],"53,2 triệu/m²","3,99 tỷ- 75 m2đ"
9,"Bán nhà Q.6-Bến Phú Lâm 40m2,1T1L,2PN,2WC-3,65 tỷ","Đường Bến Phú Lâm, Phường 9, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],40.8 m²,71.7 m²,2 phòng,2 phòng,[],[],3.21 m,12.56 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"91,25 triệu/m²","3,65 tỷ- 40.8 m2đ"
10,"Nhà mới nở hậu trệt lầu 336/Nguyễn Văn Luông,đg 5m","Đường Nguyễn Văn Luông, Phường 12, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,80 m²,2 phòng,2 phòng,1,[],5 m,7 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"122,5 triệu/m²","4,9 tỷ- 40 m2đ"
11,Nhà mặt tiền hẻm chỉ 10m ra mặt tiền Bình Phú,"Đường Cư Xá Phú Lâm D, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],Khu D,[],[],28.8 m²,109.9 m²,2 phòng,2 phòng,2,[],4 m,8 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Bàn giao thô'],[],[],['Hẻm xe hơi'],[],"182,14 triệu/m²","5,1 tỷ- 28.8 m2đ"
12,"Bán nhà 1/Bà Hom,dt 2,5x11m trệt lầu sân thượng","Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],26 m²,[],2 phòng,1 phòng,[],[],2.5 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"101,92 triệu/m²","2,65 tỷ- 26 m2đ"
13,Cần Sang Nhanh Nhà Bình Tiên Q6. 1.25 tỷ -48m2 SHR,"Đường Bình Tiên, Phường 4, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],48 m²,[],3 phòng,2 phòng,2,[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"26,04 triệu/m²","1,25 tỷ- 48 m2đ"
14,LÀM ĂN THUA LỖ CẦN BÁN GẤP NHÀ TÂN HÒA ĐÔNG Q6 SHR,"Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],45 m²,90 m²,2 phòng,1 phòng,[],[],3.5 m,12.85 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"19,78 triệu/m²",890 triệu- 45 m2đ
15,Nhà 1/ đường Văn Thân 1 lầu. Hẻm ngắn,"Đường Văn Thân, Phường 8, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],13 m²,13 m²,1 phòng,1 phòng,1,[],3 m,5 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Nở hậu'],[],"92,31 triệu/m²","1,2 tỷ- 13 m2đ"
16,"Bán nhà mới 1/Lò Gốm,dt2x12m trệt lầu,đường 5m","Lò Gốm, Phường 8, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],24 m²,45 m²,2 phòng,1 phòng,1,[],2 m,12 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"104,17 triệu/m²","2,5 tỷ- 24 m2đ"
17,Chính chủ bán nhà 3 mặt tiền quận 6 giá hấp dẫn,"57, Đường 25, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],105.5 m²,[],5 phòng,6 phòng,3,[],[],[],['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"152,38 triệu/m²",16 tỷ- 105.5 m2đ
18,Nhà mặt tiền số bình phú 2 trệt lầu DT 3x10m,"Đường Bình Phú 2, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,[],2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],110 triệu/m²,"3,3 tỷ- 30 m2đ"
19,"Bán nhà mới Bà Hom, 5x6.5m, 1 lầu 2 phòng ngủ","Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],32 m²,60 m²,2 phòng,2 phòng,2,[],5 m,6.5 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Nở hậu'],[],"83,75 triệu/m²","2,68 tỷ- 32 m2đ"
20,"Nhà ngay chủ 3.5 Tấm, Đường Nhựa 4m, Sổ Hồng","Đường An Dương Vương, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],45 m²,[],4 phòng,3 phòng,4,[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"102,22 triệu/m²","4,6 tỷ- 45 m2đ"
21,"nhà mặt tiền Nguyễn Băn Luôn 210m2,cho thuê 40trệu","Đường Nguyễn Văn Luông, Phường 10, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],210 m²,210 m²,2 phòng,2 phòng,1,[],6 m,35 m,['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Nở hậu'],[],"102,38 triệu/m²","21,5 tỷ- 210 m2đ"
22,Nhà 1/Hậu Giang sát Mặt Tiền _Dt 5mx6m,"1/, Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,[],2 phòng,1 phòng,2,[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"96,67 triệu/m²","2,9 tỷ- 30 m2đ"
23,Nhà 3 tấm - diện tích to - giá rẻ hơn khu vực,"Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,160 m²,5 phòng,4 phòng,4,[],4 m,10 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"112,5 triệu/m²","4,5 tỷ- 40 m2đ"
24,"Nhà Hẻm 4M đường An Dương Vương p14,Q6 dt 5x19m","Đường An Dương Vương, Phường 14, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],95 m²,170 m²,2 phòng,2 phòng,[],[],5 m,19 m,['Tây Bắc'],[],['Đang chờ sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"55,79 triệu/m²","5,3 tỷ- 95 m2đ"
25,"SIÊU RẺ!!! BÁN GẤP NHÀ BÀ HOM, Q.6, CHỈ 1 TỶ 492","Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],51.5 m²,[],4 phòng,5 phòng,[],[],5 m,10.3 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"29,25 triệu/m²","1,492 tỷ- 51.5 m2đ"
26,Bán nhà 1/ THĐ Q6 1T 2L đúc 3x5m . chính chủ .,"205/, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",[],[],[],[],[],13 m²,40 m²,2 phòng,1 phòng,3,[],3 m,5 m,['Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],[],[],"126,92 triệu/m²","1,65 tỷ- 13 m2đ"
