,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Bán nhà quân 7 TPHCM,"625, Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],43.8 m²,110 m²,4 phòng,2 phòng,[],[],4.07 m,11 m,['Nam'],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],100 triệu/m²,"4,3 tỷ- 43.8 m2đ"
1,"Nhà Huỳnh Tấn Phát,Q7,61m2, 1.25 tỷ, shr-xdtd","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],61 m²,61 m²,2 phòng,2 phòng,[],[],4 m,15 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"20,49 triệu/m²","1,25 tỷ- 61 m2đ"
2,Quận 7 100m²,"Trân xuân soan, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],100 m²,140 m²,2 phòng,1 phòng,[],[],5 m,20 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],130.000 đ/m²,13 triệu- 100 m2đ
3,Nhà Huỳnh Tấn Phát Q7 gần cầu Phú Mỹ sổ hồng riêng,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,120 m²,2 phòng,2 phòng,[],[],5 m,12 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"13,1 triệu/m²",786 triệu- 60 m2đ
4,🏠🏠😍😍Cần Bán Nhà Đẹp Trung Tâm Quận 07 TPHCM,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],36 m²,[],3 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"138,89 triệu/m²",5 tỷ- 36 m2đ
5,"Nhà 6*14=82m,1 trệt,1 lửng, hẻm 3,5m, chính chủ.","1206/35..., Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",[],[],Nhà hẻm,[],[],82 m²,140 m²,3 phòng,2 phòng,1,[],6 m,14 m,['Đông'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"56,71 triệu/m²","4,65 tỷ- 82 m2đ"
6,"Biệt thự phố HTPhát Q7, dt 6m x14m, 5 p.ngủ, p.thờ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,200 m²,5 phòng,5 phòng,4,[],6 m,14 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"68,75 triệu/m²","5,5 tỷ
GIÁ TỐT
- 80 m2đ"
7,"nhà Sổ hồng riêng, 2pn, chính chủ, hẻm an ninh","Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],20 m²,40 m²,2 phòng,1 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],94 triệu/m²,"1,88 tỷ- 20 m2đ"
8,"Nhà bán 3*17, 1trệt,1 lửng, hẻm xe hơi, chính chủ.",Đường Huỳnh Tấn Phát,[],[],[],[],[],46 m²,70 m²,2 phòng,2 phòng,[],[],3 m,17 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"60,87 triệu/m²","2,8 tỷ- 46 m2đ"
9,"Nhà 1 trệt 1 lầu 3,3 x 6,3m. 56/27A. Đường 25A. Q7","Đường 25A, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",[],[],[],[],[],21 m²,45 m²,2 phòng,2 phòng,[],[],3.3 m,6.3 m,['Đông'],[],['Giấy tờ khác'],"['Nhà ngõ, hẻm']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"73,81 triệu/m²","1,55 tỷ- 21 m2đ"
