,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,BÁN nhà mặt tiền phạm hùng,"229C, Đường Phạm Hùng, Phường 4, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],55.5 m²,67 m²,2 phòng,1 phòng,[],[],3.4 m,18 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"123,64 triệu/m²","6,8 tỷ- 55.5 m2đ"
1,BÁN NHÀ MT ĐƯỜNG BÙI MINH TRỰC SHR CHÍNH CHỦ 120m2,"Đường Bùi Minh Trực, Phường 5, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],121 m²,121 m²,3 phòng,2 phòng,[],[],4.7 m,27 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"17,77 triệu/m²","2,15 tỷ- 121 m2đ"
2,"Bán nhà mặt tiền ngay Dự án Topaz Elite P4, Q8","Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,263.6 m²,6 phòng,4 phòng,4,[],4 m,20 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],[],[],"112,5 triệu/m²",9 tỷ- 80 m2đ
3,Nhà phố siêu đẹp 3.5 x 10m. Đường mể cốc F15.Q8.,"Đường Bến Mễ Cốc||4414, Phường 15, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],35 m²,[],4 phòng,3 phòng,4,[],3 m,10 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"52,86 triệu/m²","1,85 tỷ- 35 m2đ"
4,Nhà nhỏ 2 lầu mặt tiền P4 Q8 chính chủ,"Đường Hồ Thành Biên, Phường 4, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],11 m²,33 m²,2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],170 triệu/m²,"1,87 tỷ- 11 m2đ"
5,BÁN nhà mặt tiền phạm hùng,"229C, Đường Phạm Hùng, Phường 4, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],55.5 m²,67 m²,2 phòng,1 phòng,[],[],3.4 m,18 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"123,64 triệu/m²","6,8 tỷ- 55.5 m2đ"
6,cần bán nhà P16. Q8,"Bên phu Đinh, Phường 16, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,[],4 phòng,3 phòng,3,[],3 m,10 m,[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],75 triệu/m²,"2,25 tỷ- 30 m2đ"
7,"Nhà phố Võ Văn Kiệt 2 mặt tiền kinh doanh ,4PN,SHR","Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,240 m²,4 phòng,4 phòng,[],[],5.2 m,14 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"113,24 triệu/m²","7,7 tỷ- 68 m2đ"
8,BÁN NHÀ DƯƠNG BÁ TRẠC P1*Q8 SỔ SẴN SANG TÊN NGAY,"Đường Dương Bá Trạc, Phường 1, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],48 m²,48 m²,2 phòng,2 phòng,[],[],4 m,12 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"32,92 triệu/m²","1,58 tỷ- 48 m2đ"
9,Nhà một chạt hai lầu và sân thượng,"141/, Đường Tám Danh, Phường 4, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],52.5 m²,52.5 m²,3 phòng,3 phòng,3,[],4.3 m,12.5 m,['Đông Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"94,23 triệu/m²","4,9 tỷ- 52.5 m2đ"
10,"Nhà Phố Tạ Quang Bửu 4 tấm, P5, Q8, 4PN, 4WC, 60m2","Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,233 m²,4 phòng,4 phòng,4,[],4 m,15 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],125 triệu/m²,"7,5 tỷ- 60 m2đ"
11,BÁN GẤP 2 CĂN NHÀ NÁT NGUYỄN THỊ TẦN P2 Q8 SỔ SẴN,"Đường Đặng Chất, Phường 2, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],43 m²,85 m²,2 phòng,2 phòng,[],[],4 m,10 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"20,58 triệu/m²",885 triệu- 43 m2đ
12,BÁN nhà mặt tiền phạm hùng,"229C, Đường Phạm Hùng, Phường 4, Quận 8, Tp Hồ Chí Minh",[],[],[],[],[],55.5 m²,67 m²,2 phòng,1 phòng,[],[],3.4 m,18 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"123,64 triệu/m²","6,8 tỷ- 55.5 m2đ"
