,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Bán nhà.vị trí đẹp.chợ t.thànhQ5trệt +lửn+lầu +st.,"112/3, Tân Thành, Phường 15, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],33 m²,93 m²,4 phòng,3 phòng,[],[],3 m,13 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"154,55 triệu/m²","5,1 tỷ- 33 m2đ"
1,"BÁN GẤP NHÀ CHÍNH CHỦ MỚI NGUYỄN VĂN CỪ, QUẬN 5","119/19/.., Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],28 m²,100 m²,4 phòng,3 phòng,3,[],3.2 m,9 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"203,57 triệu/m²","5,7 tỷ- 28 m2đ"
2,Cần bán gấp nhà cấp 4 hẻm Phùng Hưng Q5 1ty730 SR,"Đường Phùng Hưng, Phường 14, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],55 m²,[],2 phòng,1 phòng,[],[],5 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"31,45 triệu/m²","1,73 tỷ- 55 m2đ"
3,"Bán nhà hẻm 5m Nguyễn Trãi Quận 5, 40 m2","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,[],1 phòng,1 phòng,[],[],[],[],[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],150 triệu/m²,6 tỷ- 40 m2đ
4,Nhà Hẽm sạch diện tích to giá tốt p2 Q5,"Đường Phan Văn Trị, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,105.8 m²,3 phòng,[],[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"111,67 triệu/m²","6,7 tỷ- 60 m2đ"
5,Hẽm xe hơi Nguyễn Trãi Quận 5,"Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],40.66 m²,81.32 m²,2 phòng,[],[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],150 triệu/m²,6 tỷ- 40.66 m2đ
6,"Nhà 1ty810 gần bệnh viện Phạm Ngọc Thạch, Q5, SHR","Đường Ngô Quyền, Phường 11, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],46 m²,[],2 phòng,2 phòng,[],[],4 m,11.5 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"39,35 triệu/m²","1,81 tỷ- 46 m2đ"
7,"Bán Gấp nhà mới 5 tầng lầu, hẻm 129 Nguyễn Trãi Q5","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,120 m²,3 phòng,4 phòng,5,[],3 m,10 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"191,67 triệu/m²","5,75 tỷ- 30 m2đ"
8,Nhà 1 trệt 2 lầu sân thượng 72m2) phường 5 quận5,"Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],72 m²,72 m²,2 phòng,3 phòng,2,[],3 m,10 m,['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"119,44 triệu/m²","8,6 tỷ- 72 m2đ"
9,"Bán Gấp nhà mới 4 lầu, HXH Trần Hưng Đạo p1 Q5","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,160 m²,4 phòng,4 phòng,[],[],3.2 m,12 m,['Đông Nam'],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"181,25 triệu/m²","7,25 tỷ- 40 m2đ"
10,"Bán nhà 1 trệt 1 lầu hẻm 4m đường Cao Đạt, P1, Q5","Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh",[],[],[],[],[],44 m²,88 m²,3 phòng,3 phòng,1,[],4 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"20,27 triệu/m²",892 triệu- 44 m2đ
