,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2
5990,[],[],[],[],[],75.3 m²,150 m²,2 phòng,2 phòng,[],[],4.43 m,17 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"133,33 triệu/m²"
5991,[],[],[],[],[],66.4 m2,[],[],[],[],[],4 m,18 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],"80,3 triệu/m2"
5992,[],[],[],[],[],28 m²,28 m²,2 phòng,2 phòng,2,[],3.2 m,9 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"160,71 triệu/m²"
5993,[],[],[],[],[],80 m2,[],[],[],[],[],5 m,16 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],"33,6 triệu/m2"
5994,[],[],[],[],[],100 m²,100 m²,3 phòng,2 phòng,[],[],5 m,20 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"35,8 triệu/m²"
5995,[],[],[],[],[],60 m²,120 m²,2 phòng,2 phòng,2,[],5 m,12 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"23,33 triệu/m²"
5996,[],[],[],[],[],36 m²,72 m²,2 phòng,2 phòng,[],[],3 m,11 m,[],[],['Giấy tờ khác'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Nở hậu'],[],"40,28 triệu/m²"
5997,[],[],[],[],[],3287 m2,[],[],[],[],[],47 m,67 m,['Đông Bắc'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],"3,92 triệu/m2"
5998,[],[],[],[],34 m²,[],[],1 phòng,1 phòng,[],[],[],[],[],[],['Đang chờ sổ'],[],[],[],['Chung cư'],['Nội thất đầy đủ'],['Chưa bàn giao'],[],[],[],"9,41 triệu/m²"
5999,Homyland 3 (Homyland Riverside),F24-B13,B,[],74.9 m²,[],[],2 phòng,2 phòng,[],24,[],[],['Nam'],['Bắc'],['Đang chờ sổ'],[],[],[],['Chung cư'],['Nội thất cao cấp'],['Đã bàn giao'],[],[],[],"54,14 triệu/m²"
6000,[],[],[],[],[],50 m²,150 m²,4 phòng,3 phòng,[],[],5 m,10 m,['Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],90 triệu/m²
6001,[],393,nhà phố liền kể,[],[],140 m²,101 m²,3 phòng,3 phòng,4,[],7 m,5.5 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"71,43 triệu/m²"
6002,The Era Town (A1 Riverside),[],A1,[],92 m²,[],[],3 phòng,2 phòng,[],[],[],[],['Bắc'],['Nam'],['Đang chờ sổ'],[],[],[],['Chung cư'],[],['Đã bàn giao'],[],[],[],"26,63 triệu/m²"
6003,Flora Kikyo,[],[],[],67 m²,[],[],2 phòng,2 phòng,[],[],[],[],[],[],['Đang chờ sổ'],[],[],[],['Chung cư'],['Hoàn thiện cơ bản'],['Đã bàn giao'],['Căn góc'],[],[],"34,63 triệu/m²"
6004,[],[],[],[],[],96 m2,[],[],[],[],[],5 m,19.2 m,['Tây'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],"31,77 triệu/m2"
6005,[],[],[],[],[],250 m²,250 m²,4 phòng,2 phòng,[],[],10 m,25 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"5,6 triệu/m²"
6006,[],[],[],[],[],15 m²,[],2 phòng,2 phòng,4,[],3 m,5 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"136,67 triệu/m²"
6007,[],[],[],[],[],52 m²,52 m²,2 phòng,2 phòng,[],[],4 m,13 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"49,04 triệu/m²"
6008,[],[],[],[],[],80 m²,80 m²,1 phòng,1 phòng,[],[],5 m,16 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"12,5 triệu/m²"
