,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"Bán Nhà Mặt Tiền, Nguyễn Hiền, P4, Q10, Gía: 5.1Tỷ","Đường Nguyễn Hiền, Phường 4, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],28 m²,108 m²,4 phòng,3 phòng,4,[],3.1 m,10 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"182,14 triệu/m²","5,1 tỷ- 28 m2đ"
1,"Khu vuc an ninh ,đường rộng 12m hẻm sau 1m","611/5a, Đường Điện Biên Phủ, Phường 1, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],90 m²,138 m²,3 phòng,2 phòng,2,[],42 m,225 m,['Tây Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"266,67 triệu/m²","24 tỷ
GIÁ TỐT
- 90 m2đ"
2,BÁN GẤP NHÀ CHÍNH CHỦ 1T+1L BÀN CỜ 66m2/1 tỷ150,"Đường Bàn Cờ, Phường 4, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],66 m²,122 m²,2 phòng,2 phòng,[],[],5 m,13 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"17,42 triệu/m²","1,15 tỷ- 66 m2đ"
3,CHDV 8 Phòng- Trường Sa- Quận 3,"Đường Trường Sa, Phường 14, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],30 m²,120 m²,8 phòng,6 phòng,4,[],3.4 m,8.5 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"178,33 triệu/m²","5,35 tỷ- 30 m2đ"
4,"Nhà mới 4 lầu BTCT, DT đất 41m2 CMT8, P.10, Q.3","Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],41 m²,127 m²,5 phòng,4 phòng,4,[],3.5 m,12 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"162,93 triệu/m²","6,68 tỷ- 41 m2đ"
5,Nhà nát hẻm xe tải 6m Q.3,"Đường Trần Văn Đang, Phường 9, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],160 m²,160 m²,1 phòng,1 phòng,[],[],8.2 m,20 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"113,75 triệu/m²","18,2 tỷ- 160 m2đ"
6,NHÀ TRUNG TÂM phường 1 QUẬN 3,"Đường Lý Thái Tổ, Phường 1, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],25 m²,30 m²,3 phòng,[],3,[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],180 triệu/m²,"4,5 tỷ- 25 m2đ"
7,Nhà nát Đường Nguyễn Đình Chiểu Q3 Thổ cư 100%.,"Đường Nguyễn Đình Chiểu||3416, Phường 5, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],65 m²,[],2 phòng,1 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"13,54 triệu/m²",880 triệu- 65 m2đ
8,Nhà Bán có Thu nhập : 50tr/tháng. Hẽm 7m CMT8,"686/72/, Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,300 m²,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,3,[],4.2 m,20 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"157,5 triệu/m²","12,6 tỷ- 80 m2đ"
9,Nhà MT KD hải sản Q.3 -NĐìnhChiểu HXH 664,"Đường Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",[],[],[],[],[],31 m²,85 m²,4 phòng,2 phòng,[],[],3.1 m,10 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"214,52 triệu/m²","6,65 tỷ- 31 m2đ"
