,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,Nhà đẹp q11.tiện kinh doanh. Giá sóc,"Đường Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],364 m²,54 m²,3 phòng,2 phòng,2,[],35 m,105 m,['Tây Nam'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"10,3 triệu/m²","3,75 tỷ- 364 m2đ"
1,Siêu Phẩm MT Lạc Long Quân(4.3*15)4 Tầng 14.3 Tỷ,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],240 m²,[],6 phòng,6 phòng,[],[],[],[],[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"59,58 triệu/m²","14,3 tỷ- 240 m2đ"
2,Nhà Đẹp Phó Cơ Điều Q11 70m2 sổriêng gần Chợ Thiếc,"Đường Phó Cơ Điều, Phường 4, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],70 m²,[],3 phòng,2 phòng,1,[],4.5 m,15.5 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"17,86 triệu/m²","1,25 tỷ- 70 m2đ"
3,XUỐNG GIÁ! MT Lạc Long Quân 4.5x13 13.8 tỷ TL,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],52.5 m²,[],5 phòng,4 phòng,[],[],4.5 m,12.6 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"265,38 triệu/m²","13,8 tỷ
GIÁ TỐT
- 52.5 m2đ"
4,Bán nhà mặt tiền 67 đường Phan Xích Long Quận 11,"Đường Phan Xích Long, Phường 16, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],42 m²,[],5 phòng,[],[],[],[],[],['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],[],[],"202,38 triệu/m²","8,5 tỷ- 42 m2đ"
5,MẶT TIỀN 536 MINH PHỤNG Q11 ( 4×14 ) 2 LẦU 13.3 TỶ,"536 Minh Phụng quận 11, Đường Minh Phụng, Phường 10, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],50 m²,150 m²,2 phòng,3 phòng,3,[],4 m,14 m,['Tây'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],266 triệu/m²,"13,3 tỷ- 50 m2đ"
6,MẶT TIỀN ĐƯỜNG 10M 3 LẦU TRUNG TÂM Q11 GIÁP Q10,"Đường Thái Phiên, Phường 8, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],36 m²,100 m²,3 phòng,3 phòng,4,[],4 m,11 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],[],[],"169,44 triệu/m²","6,1 tỷ- 36 m2đ"
7,HẺM 8M LÃNH BINH THĂNG ( 7×16 ) 1 LẦU 10.3 TỶ,"125B, Đội Cung, Phường 11, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],108 m²,206 m²,3 phòng,2 phòng,1,[],9.2 m,18 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],"95,37 triệu/m²","10,3 tỷ- 108 m2đ"
8,THÁI PHIÊN 3 LẦU HẺM 8M KINH DOANH ( 3.5×10.7),"Đường Thái Phiên, Phường 8, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],36 m²,100 m²,3 phòng,2 phòng,3,[],4 m,11 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"177,78 triệu/m²","6,4 tỷ- 36 m2đ"
9,Nhà 3.5x17 mặt tiền Lạc Long Quân,"Đường Lạc Long Quân, Phường 10, Quận 11, Tp Hồ Chí Minh",[],[],[],[],[],57 m²,[],2 phòng,2 phòng,[],[],3.5 m,17 m,[],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"140,35 triệu/m²",8 tỷ- 57 m2đ
