,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,MT TRẦN HƯNG ĐẠO . PHƯỜNG NGUYỄN CƯ TRINH . QUẬN 1,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],78 m²,[],6 phòng,Nhiều hơn 6 phòng,6,[],4 m,20 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"282,05 triệu/m²",22 tỷ- 78 m2đ
1,"Bán nhà chính chủ, hẻm xe hoi tới nhà","88/89, Nguyễn Van Quy, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],81 m²,158 m²,3 phòng,4 phòng,[],[],4 m,20 m,['Tây Nam'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"60,49 triệu/m²","4,9 tỷ- 81 m2đ"
2,"Bán Nhà Nguyễn Trãi , 5 lầu 19P Thu Nhập 120tr/th","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],125 m²,[],10 phòng,Nhiều hơn 6 phòng,6,[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],148 triệu/m²,"18,5 tỷ
GIÁ TỐT
- 125 m2đ"
3,Bán khách sạn mặt tiền đường NGUYỄN AN NINH P BẾN,"34, Đường Nguyễn An Ninh, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],87 m²,473 m²,7 phòng,Nhiều hơn 6 phòng,9,[],4 m,22 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],['Nở hậu'],[],"1,137931034 tỷ/m²",99 tỷ- 87 m2đ
4,DO CHUYỂN NHÀ RA HÀ NỘI BÁN GẤP TRẦN ĐÌNH XU Q.1,"Đường Trần Đình Xu, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],58 m²,58 m²,4 phòng,3 phòng,[],[],5 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"32,07 triệu/m²","1,86 tỷ- 58 m2đ"
5,"Nhà hẻm 18A Nguyễn Thị Minh Khai, P.ĐK, Q.1, 4,7tỷ","Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],18 m²,[],3 phòng,4 phòng,[],[],[],[],[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"261,11 triệu/m²","4,7 tỷ- 18 m2đ"
6,"NHÀ HẺM 214B NGUYỄN TRÃI 3,7 x 13 TRỆT 1 LẦU 2PN","nguyễn trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,80 m²,2 phòng,3 phòng,2,[],4 m,13 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"132,5 triệu/m²","5,3 tỷ- 40 m2đ"
7,"Nhà hẻm Nguyễn Bỉnh Khiêm,P.ĐK, Q.1, 28m2, 3,6tỷ","Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],28 m²,[],2 phòng,2 phòng,[],[],[],[],[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"128,57 triệu/m²","3,6 tỷ- 28 m2đ"
8,CHUYỂN NHÀ BÁN GẤP NGUYỄN BỈNH KHIÊM P.ĐA KAO Q.1,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],56 m²,112 m²,5 phòng,4 phòng,[],[],5 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"23,93 triệu/m²","1,34 tỷ- 56 m2đ"
9,"NHÀ VỊ TRÍ ĐẸP NGAY MẠC THỊ BƯỞI,Q1,32m2,CHỈ 984tr","Đường Mạc Thị Bưởi, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],32 m²,[],2 phòng,2 phòng,[],[],4 m,8 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"30,75 triệu/m²",984 triệu- 32 m2đ
10,Bán nhà đầu ve hẻm 459 Trần Hưng Đạo,"459, Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],25.6 m²,58.1 m²,2 phòng,2 phòng,[],[],3.2 m,8 m,['Tây Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Bàn giao thô'],[],[],['Hẻm xe hơi'],[],268 triệu/m²,"6,7 tỷ- 25.6 m2đ"
11,"Bán nhà VIP MT Trần Quang Khải 4,4 x 17m, 5L. 31T","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],75 m²,500 m²,8 phòng,Nhiều hơn 6 phòng,[],[],4.4 m,17 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],[],"413,33 triệu/m²",31 tỷ- 75 m2đ
12,Bán nhà hẻm Nguyễn Thị Minh Khai Q1 -Sổ riêng 40m2,"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],40 m²,[],2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],['Hẻm xe hơi'],[],35 triệu/m²,"1,4 tỷ- 40 m2đ"
13,"Nhà Q.1 giá cực rẻ chỉ 3.88 tỷ, 29m2, 1 trệt 2 lầu","Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],29 m²,[],3 phòng,3 phòng,[],[],[],[],[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"133,79 triệu/m²","3,88 tỷ- 29 m2đ"
14,Nhà bán hẻm xe hơi 8m hoàng sa p Đakao Q1,"75, Đường Hoàng Sa, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],70 m²,214 m²,4 phòng,5 phòng,4,[],4 m,17 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"254,29 triệu/m²","17,8 tỷ- 70 m2đ"
15,Nhà Mặt Tiền Q1,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],76 m²,76 m²,3 phòng,2 phòng,2,[],4 m,19 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],500 triệu/m²,38 tỷ- 76 m2đ
16,GĐ CẦN TIỀN BÁN GẤP NHÀ NGUYỄN TRÃI QUẬN 1 46M2 SH,"Đường Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],46 m²,[],2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"33,26 triệu/m²","1,53 tỷ- 46 m2đ"
17,Nhà Hẻm Xe hơi Đỗ Cửa Q1. Giá Chỉ 5 Tỷ Hàng Hiếm,"15, Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],21 m²,65 m²,2 phòng,2 phòng,[],[],36 m,6 m,['Tây Nam'],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"238,1 triệu/m²",5 tỷ- 21 m2đ
18,Bán tòa nhà CHDV khu phố Tây NTMK Q1. Gía 41ty,"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],108 m²,500 m²,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,[],[],6 m,18 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"379,63 triệu/m²",41 tỷ- 108 m2đ
19,Cân bán Gâp nhà hėm Lương Hưu khánh Q1 .,"Lương Hưu Khánh, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],27 m²,80 m²,4 phòng,4 phòng,[],[],3 m,11 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],"203,7 triệu/m²","5,5 tỷ- 27 m2đ"
20,Chính chủ bán nhà Trần Khắc Chân Q1 25m2 giá2ty150,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],25 m²,50 m²,2 phòng,2 phòng,[],[],3.5 m,7 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],[],86.000 đ/m²,"2,15 triệu- 25 m2đ"
21,Hẻm 6m 457/ Trần Hưng Đạo đúc 4.5 tấm,"457, Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",[],[],[],[],[],32 m²,122.03 m²,5 phòng,4 phòng,[],[],3 m,12.5 m,['Tây Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],['Hoàn thiện cơ bản'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"437,5 triệu/m²",14 tỷ- 32 m2đ
