index,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_house
357,50.0,100.0,2.0,2.0,2.0,4.8,11.0,,0,2,,Hẻm xe hơi,69000000.0,3450000000.0
358,25.0,51.0,2.0,2.0,2.0,4.0,8.0,,0,2,,,100000000.0,2500000000.0
359,87.0,87.0,2.0,2.0,1.0,4.0,22.0,Nam,0,1,,,931000000.0,80997000000.0
360,63.0,63.0,4.0,5.0,1.0,6.0,10.0,,0,2,Nội thất đầy đủ,"Hẻm xe hơi, Nở hậu",219000000.0,13797000000.0
361,200.0,200.0,3.0,2.0,1.0,10.0,20.0,,0,4,,Mặt tiền,321000000.0,64200000000.0
362,64.0,104.5,4.0,2.0,2.0,4.0,16.0,Đông Nam,0,2,,,8125000000.0,520000000000.0
363,83.0,330.0,5.0,6.0,4.0,4.1,20.6,Nam,0,1,Nội thất cao cấp,Hẻm xe hơi,9639000000.0,800037000000.0
364,21.0,21.0,2.0,2.0,1.0,3.0,7.0,,0,2,,Hẻm xe hơi,6143000000.0,129003000000.0
365,36.0,36.0,2.0,2.0,1.0,18.0,18.0,,0,2,,Hẻm xe hơi,2278000000.0,82008000000.0
366,48.0,48.0,3.0,2.0,1.0,4.0,12.0,,0,2,,,8125000000.0,390000000000.0
367,30.5,117.7,3.0,3.0,4.0,3.1,10.0,Tây Bắc,0,2,Hoàn thiện cơ bản,"Hẻm xe hơi, Nở hậu",24333000000.0,742156500000.0
368,27.0,55.0,2.0,2.0,1.0,3.0,9.0,Đông Bắc,0,1,Hoàn thiện cơ bản,Hẻm xe hơi,2963000000.0,80001000000.0
369,60.0,180.0,4.0,5.0,3.0,6.0,11.0,,0,2,Nội thất đầy đủ,Nở hậu,575000000.0,34500000000.0
370,60.0,60.0,4.0,4.0,3.0,4.0,15.0,,0,2,Nội thất cao cấp,Hẻm xe hơi,90000000.0,5400000000.0
371,80.0,80.0,3.0,2.0,1.0,4.0,20.0,,0,4,,Hẻm xe hơi,999000000.0,79920000000.0
372,42.0,120.0,2.0,3.0,3.0,3.6,10.0,,0,2,,"Hẻm xe hơi, Nở hậu",13333000000.0,559986000000.0
373,66.0,110.0,3.0,2.0,1.0,5.0,13.0,,0,2,Nội thất đầy đủ,"Hẻm xe hơi, Nở hậu",20000000.0,1320000000.0
374,36.0,36.0,2.0,2.0,1.0,4.0,9.0,,0,2,Hoàn thiện cơ bản,Hẻm xe hơi,4569000000.0,164484000000.0
375,100.0,100.0,4.0,3.0,1.0,5.0,20.0,Nam,0,1,Nội thất cao cấp,,98000000.0,9800000000.0
